# Object      $T\sb {\rm eff}$      $\log g$      [Ca/H]      v      d
#       [K]                    [km s-1]      [pc]
       WD0032-175      9235      8.0      -10.5      74      32
       HS0047+1903      16600      7.8      -6.1      5      ??
       HE0106-3253      15700      8.0      -5.8      20      66
       WD0208+296      7201      7.9      -8.8      89       ??
       WD0235+064      11420      7.9      -9.2      11      34
       WD0243-026      6798      8.2      -9.8      52      21
       WD0245+541      5190      8.2      -11.7      38      10
       HS0307+0746      10200      8.1      -7.1      38     ??
       WD0408-041      14400      7.8      -6.6      40      74
       WD0543+579      8142      8.0      -10.5      120      30
       WD0846+346      7373      8.0      -9.4      20      27
       WD1015+161      19300      7.9      -5.9      47      95
       WD1102-183      8026      8.0      -10.3      45      40
       WD1116+026      12200      7.9      -6.5      26      43
       WD1124-293      9700      8.1      -8.2      65      34
       WD1150-153      12800      7.8      -6.0      14      85
       WD1202-232      8800      8.2      -9.8      37      10
       WD1204-136      11200      8.0      -7.2      56      52
       WD1208+576      5830      7.9      -10.8      65      20
       HE1225+0038      9400      8.1      -9.7      38      29
       WD1257+278      8481      7.9      -8.1      50      35
       HE1315-1105      9400      8.4      -9.4      17      40
       WD1337+705      20435      7.9      -6.7      53      33
       WD1344+106      6945      8.0      -11.3      79      18
       WD1407+425      9856      8.0      -9.8      21      26
       WD1455+298      7366      7.6      -9.3      101      35
       WD1457-086      20400      8.0      -6.1      24      117
       WD1614+160      17400      7.8      -7.2      44      117
       WD1633+433      6569      8.1      -8.6      30      15
       WD1821-131      7029      8.4      -10.9      89      20
       WD1826-045      9200      8.1      -8.6      26      25
       WD1858+393      9470      8.0      -7.8      3      35
       WD2115-560      9700      8.1      -7.6      54      22
       HS2132+0941      13200      7.7      -7.1      37      79
       WD2149+021      17300      7.9      -7.7      4      25
       HE2221-1630      10100      8.2      -7.2      25      52
       HS2229+2335      18600      7.9      -5.9      35      91
       WD2326+049      12100      7.9      -6.4      59      19
       
