# Teff (actual) log(g) log(Mcv/.38)  C12   O16   Na23   Mg24   Al27   Si28   Ca40   Ti48   Cr52   Fe56
6.0000e+03 5.9935e+03 7.5217e+00 -6.9567e+00 5.1881e+00 nan nan 5.0524e+00 4.9696e+00 nan 5.0824e+00 nan 4.9101e+00 4.8224e+00
6.5000e+03 6.4871e+03 7.5141e+00 -7.2765e+00 4.9968e+00 nan nan 4.8290e+00 4.7541e+00 nan 4.8799e+00 nan 4.6939e+00 4.6338e+00
7.0000e+03 6.9887e+03 7.5068e+00 -7.5391e+00 4.8484e+00 nan nan 4.6491e+00 4.5931e+00 nan 4.6952e+00 nan 4.5128e+00 4.4848e+00
7.5000e+03 7.4883e+03 7.4996e+00 -7.7814e+00 4.7016e+00 nan nan 4.5027e+00 4.4529e+00 nan 4.5393e+00 nan 4.3600e+00 4.3448e+00
8.0000e+03 7.9920e+03 7.4923e+00 -8.0559e+00 4.5362e+00 nan nan 4.3379e+00 4.2875e+00 nan 4.3511e+00 nan 4.1700e+00 4.1857e+00
8.5000e+03 8.4976e+03 7.4848e+00 -8.3874e+00 4.3324e+00 nan nan 4.1404e+00 4.0733e+00 nan 4.1392e+00 nan 3.9463e+00 3.9913e+00
9.0000e+03 9.0010e+03 7.4771e+00 -8.7708e+00 4.1016e+00 nan nan 3.9099e+00 3.7579e+00 nan 3.9134e+00 nan 3.6717e+00 3.7622e+00
9.5000e+03 9.4977e+03 7.4691e+00 -9.4000e+00 3.7036e+00 nan nan 3.4038e+00 3.3502e+00 nan 3.4672e+00 nan 3.2775e+00 3.3165e+00
1.0000e+04 1.0002e+04 7.4607e+00 -1.0342e+01 3.1130e+00 nan nan 2.6422e+00 2.5909e+00 nan 2.7176e+00 nan 2.7006e+00 2.6268e+00
1.0500e+04 1.0496e+04 7.4523e+00 -1.1659e+01 2.2681e+00 nan nan 1.5082e+00 1.7271e+00 nan 1.7142e+00 nan 1.6953e+00 1.5971e+00
1.1000e+04 1.0991e+04 7.4439e+00 -1.3442e+01 6.3188e-01 nan nan 3.3705e-01 5.5691e-01 nan 1.1640e-01 nan 2.7627e-01 2.4433e-01
1.1500e+04 1.1489e+04 7.4357e+00 -1.5100e+01 -6.4274e-01 nan nan -7.3146e-01 -7.1461e-01 nan -9.5053e-01 nan -1.0627e+00 -1.0944e+00
1.2000e+04 1.1994e+04 7.4273e+00 -1.5311e+01 -1.0464e+00 nan nan -8.5437e-01 -9.8137e-01 nan -1.0770e+00 nan -1.1912e+00 -1.2234e+00
1.2500e+04 1.2480e+04 7.4190e+00 -1.5385e+01 -1.1008e+00 nan nan -9.0279e-01 -1.0767e+00 nan -1.1256e+00 nan -1.2399e+00 -1.2721e+00
1.3000e+04 1.2999e+04 7.4100e+00 -1.5474e+01 -1.1579e+00 nan nan -9.6082e-01 -1.2326e+00 nan -1.1837e+00 nan -1.2981e+00 -1.3303e+00
1.3500e+04 1.3493e+04 7.4012e+00 -1.5549e+01 -1.2135e+00 nan nan -1.0123e+00 -1.3536e+00 nan -1.2352e+00 nan -1.3495e+00 -1.3817e+00
1.4000e+04 1.3996e+04 7.3923e+00 -1.5627e+01 -1.2669e+00 nan nan -1.0657e+00 -1.5024e+00 nan -1.2888e+00 nan -1.4032e+00 -1.4354e+00
1.4500e+04 1.4497e+04 7.3834e+00 -1.5721e+01 -1.3394e+00 nan nan -1.1329e+00 -1.6205e+00 nan -1.3560e+00 nan -1.4632e+00 -1.4955e+00
1.5000e+04 1.4987e+04 7.3747e+00 -1.5816e+01 -1.4033e+00 nan nan -1.2014e+00 -1.7549e+00 nan -1.4243e+00 nan -1.5388e+00 -1.5711e+00
1.5500e+04 1.5490e+04 7.3656e+00 -1.6065e+01 -1.5932e+00 nan nan -1.3889e+00 -1.9508e+00 nan -1.6135e+00 nan -1.7398e+00 -1.7609e+00
1.6000e+04 1.5998e+04 7.3563e+00 -1.6020e+01 -1.5642e+00 nan nan -1.3590e+00 -1.9218e+00 nan -1.5836e+00 nan -1.6985e+00 -1.7308e+00
1.6500e+04 1.6491e+04 7.3473e+00 -1.5979e+01 -1.5382e+00 nan nan -1.3321e+00 -1.8798e+00 nan -1.5568e+00 nan -1.6716e+00 -1.7040e+00
1.7000e+04 1.6998e+04 7.3380e+00 -1.5923e+01 -1.4998e+00 nan nan -1.2931e+00 -1.6983e+00 nan -1.5177e+00 nan -1.6326e+00 -1.6650e+00
1.7500e+04 1.7489e+04 7.3288e+00 -1.5880e+01 -1.4713e+00 nan nan -1.2640e+00 -1.3402e+00 nan -1.4887e+00 nan -1.6035e+00 -1.6359e+00
1.8000e+04 1.7975e+04 7.3152e+00 -1.5816e+01 -1.4247e+00 nan nan -1.2173e+00 -1.2694e+00 nan -1.4419e+00 nan -1.5567e+00 -1.5891e+00
2.0000e+04 1.9819e+04 7.3095e+00 -1.5693e+01 -8.7165e-01 nan nan -1.1498e+00 -1.2016e+00 nan -1.3742e+00 nan -1.4890e+00 -1.5214e+00
