# Teff     (actual)   log(g)     log(Mcv/.9) C12        O16        Na23       Mg24       Al27       Si28       Ca40       Ti48       Cr52       Fe56
6.0000e+03 5.9974e+03 8.5017e+00 -8.4353e+00 3.5334e+00 3.6017e+00 3.3421e+00 3.3000e+00 3.1648e+00 3.1384e+00 3.3868e+00 3.2821e+00 3.1672e+00 3.1470e+00
6.5000e+03 6.4990e+03 8.5006e+00 -9.0923e+00 3.0933e+00 3.1867e+00 2.8077e+00 2.7985e+00 2.7256e+00 2.7025e+00 2.8845e+00 2.7436e+00 2.6236e+00 2.7307e+00
7.0000e+03 6.9960e+03 8.4998e+00 -9.4213e+00 2.9117e+00 2.9356e+00 2.6120e+00 2.5939e+00 2.4840e+00 2.5208e+00 2.6758e+00 2.5297e+00 2.4323e+00 2.5074e+00
7.5000e+03 7.4949e+03 8.4991e+00 -9.6404e+00 2.7737e+00 2.7858e+00 2.4742e+00 2.4629e+00 2.3502e+00 2.3847e+00 2.5297e+00 2.3809e+00 2.2982e+00 2.3583e+00
8.0000e+03 7.9932e+03 8.4984e+00 -9.8308e+00 2.6660e+00 2.6591e+00 2.3659e+00 2.3476e+00 2.2371e+00 2.2769e+00 2.3988e+00 2.2549e+00 2.1892e+00 2.2342e+00
8.5000e+03 8.4971e+03 8.4977e+00 -1.0047e+01 2.5306e+00 2.5129e+00 2.2329e+00 2.2159e+00 2.0876e+00 2.1440e+00 2.2509e+00 2.1069e+00 2.0583e+00 2.0895e+00
9.0000e+03 8.9997e+03 8.4969e+00 -1.0271e+01 2.3989e+00 2.3735e+00 2.1010e+00 2.0789e+00 1.9285e+00 2.0129e+00 2.1044e+00 1.9614e+00 1.9280e+00 1.9482e+00
9.5000e+03 9.4985e+03 8.4962e+00 -1.0441e+01 2.2924e+00 2.2706e+00 1.9965e+00 1.9769e+00 1.8141e+00 1.9082e+00 1.9941e+00 1.8553e+00 1.8262e+00 1.8424e+00
1.0000e+04 9.9965e+03 8.4955e+00 -1.0769e+01 2.0942e+00 2.0378e+00 1.7981e+00 1.7423e+00 1.5836e+00 1.7114e+00 1.7502e+00 1.6231e+00 1.6310e+00 1.6019e+00
1.0500e+04 1.0486e+04 8.4948e+00 -1.1188e+01 1.8337e+00 1.7114e+00 1.5133e+00 1.3825e+00 1.3194e+00 1.4527e+00 1.4568e+00 1.3182e+00 1.3767e+00 1.3415e+00
1.1000e+04 1.0996e+04 8.4940e+00 -1.1761e+01 1.4812e+00 1.3511e+00 1.0337e+00 1.0072e+00 9.6287e-01 1.1023e+00 1.0550e+00 8.7124e-01 1.0209e+00 9.1888e-01
