# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 9.2296e-11 4.5677e-10 1.4001e+04 8.0060e+00
1.9931e+04 2.2156e-10 1.4444e-09 1.4001e+04 8.0060e+00
6.3027e+04 5.2334e-10 4.5677e-09 1.4001e+04 8.0060e+00
1.9931e+05 1.2197e-09 1.4444e-08 1.4001e+04 8.0060e+00
6.3027e+05 2.8122e-09 4.5677e-08 1.4001e+04 8.0060e+00
1.9931e+06 6.4281e-09 1.4444e-07 1.4001e+04 8.0060e+00
6.3027e+06 1.4584e-08 4.5677e-07 1.4001e+04 8.0060e+00
1.9931e+07 3.2780e-08 1.4444e-06 1.4001e+04 8.0060e+00
6.3027e+07 7.2805e-08 4.5677e-06 1.4001e+04 8.0060e+00
1.9931e+08 1.6064e-07 1.4444e-05 1.4001e+04 8.0060e+00
6.3027e+08 3.5142e-07 4.5677e-05 1.4001e+04 8.0060e+00
1.9931e+09 7.7581e-07 1.4444e-04 1.4001e+04 8.0060e+00
6.3027e+09 1.7418e-06 4.5677e-04 1.4001e+04 8.0060e+00
1.9931e+10 3.7432e-06 1.4444e-03 1.4001e+04 8.0060e+00
6.3027e+10 7.6891e-06 4.5677e-03 1.4001e+04 8.0060e+00
1.9931e+11 1.6907e-05 1.4444e-02 1.4000e+04 8.0060e+00
6.3027e+11 3.6068e-05 4.5677e-02 1.3998e+04 8.0060e+00
